Plot,Diversity,gencolor,Caoba Diversity,color,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,Piscidia piscipula,Tabebuia rosea,Enterlobium cyclocarpum,m,q,r,x,y,z,row,col,Species,caoba,treesp,rowp,colp,cols,rows
44,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,Piscidia piscipula,,,,,,,,,3,7,"Swietenia macrophylla, Ceiba pentandra, Cordia dodecandra, Piscidia piscipula",1,4,3,7,7.2,2.8
29,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,,Tabebuia rosea,,,,,,,,1,5,"Swietenia macrophylla, Ceiba pentandra, Cordia dodecandra, Tabebuia rosea",1,4,1,5,5.2,0.8
35,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,,,Enterlobium cyclocarpum,,,,,,,7,5,"Swietenia macrophylla, Ceiba pentandra, Cordia dodecandra,  Enterlobium cyclocarpum",1,4,7,5,5.2,6.8
41,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,Cordia dodecandra,,,Enterlobium cyclocarpum,,,,,,,6,6,"Swietenia macrophylla, Ceiba pentandra, Cordia dodecandra,  Enterlobium cyclocarpum",1,4,6,6,6.2,5.8
24,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,,Piscidia piscipula,Tabebuia rosea,,,,,,,,3,4,"Swietenia macrophylla, Ceiba pentandra,  Piscidia piscipula, Tabebuia rosea",1,4,3,4,4.2,2.8
5,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,,Piscidia piscipula,,Enterlobium cyclocarpum,,,,,,,5,1,"Swietenia macrophylla, Ceiba pentandra,  Piscidia piscipula,  Enterlobium cyclocarpum",1,4,5,1,1.2,4.8
19,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,Ceiba pentandra,,,Tabebuia rosea,Enterlobium cyclocarpum,,,,,,,5,3,"Swietenia macrophylla, Ceiba pentandra, Tabebuia rosea, Enterlobium cyclocarpum",1,4,5,3,3.2,4.8
10,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,,Cordia dodecandra,Piscidia piscipula,Tabebuia rosea,,,,,,,,3,2,"Swietenia macrophylla,  Cordia dodecandra, Piscidia piscipula, Tabebuia rosea",1,4,3,2,2.2,2.8
56,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,,Cordia dodecandra,Piscidia piscipula,,Enterlobium cyclocarpum,,,,,,,3,10,"Swietenia macrophylla,  Cordia dodecandra, Piscidia piscipula,  Enterlobium cyclocarpum",1,4,3,10,10.2,2.8
7,Polyculture,white,Monoculture,#a6cee3,Swietenia macrophylla,,Cordia dodecandra,,Tabebuia rosea,Enterlobium cyclocarpum,,,,,,,7,1,"Swietenia macrophylla, Cordia dodecandra,  Tabebuia rosea, Enterlobium cyclocarpum",1,4,7,1,1.2,6.8
